type,buyAmount,buyCurrency,sellAmount,sellCurrency,sellFee,sellFeeCurrency,exchange,group,comment,date
"Trade","1.80106086","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T18:40:47.000Z"
"Trade","0.60044207","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:37:54.000Z"
"Trade","0.6004066600000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:00:43.000Z"
"Trade","0.43227298999999997","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:44:32.000Z"
"Trade","1.70020985","ETOMIC","17.038900899999998","BEER","0.0219009","BEER","BarterDex Trades","","","2018-03-25T20:30:45.000Z"
"Trade","0.60856717","ETOMIC","6.09391279","BEER","0.00783279","BEER","BarterDex Trades","","","2018-03-19T17:20:02.000Z"
"Trade","1.80120409","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:30:41.000Z"
"Trade","1.4485008499999998","ETOMIC","14.51313441","BEER","0.01865441","BEER","BarterDex Trades","","","2018-03-13T14:05:30.000Z"
"Trade","0.49625958","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-27T16:10:15.000Z"
"Trade","0.4403161","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:38:26.000Z"
"Trade","1.0647574899999999","ETOMIC","10.664347379999999","BEER","0.01370738","BEER","BarterDex Trades","","","2018-03-19T17:21:05.000Z"
"Trade","2.98448672","ETOMIC","29.90828252","BEER","0.03844252","BEER","BarterDex Trades","","","2018-03-13T14:01:28.000Z"
"Trade","0.6002296800000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T19:07:22.000Z"
"Trade","1.8004166099999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:16:25.000Z"
"Trade","4.93025289","ETOMIC","49.39276684","BEER","0.06348684","BEER","BarterDex Trades","","","2018-03-18T11:31:43.000Z"
"Trade","0.60043617","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T17:31:54.000Z"
"Trade","1.80113248","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:12:03.000Z"
"Trade","0.44008826","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T17:01:37.000Z"
,,,,,,,,,,
"Trade","2139.64440678","PIZZA","0.21427478","BEER","0.00027541","BEER","BarterDex Trades","","","2018-03-18T11:20:26.000Z"
"Trade","0.43225188999999997","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:44:28.000Z"
"Trade","50.008532259999996","ETOMIC","501.14414414","BEER","0.64414414","BEER","BarterDex Trades","","","2018-03-18T13:43:28.000Z"
"Trade","6.1254783","ETOMIC","61.34004324","BEER","0.07884324","BEER","BarterDex Trades","","","2018-03-13T20:37:49.000Z"
"Trade","1.8009355599999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T18:37:39.000Z"
"Trade","0.49637137","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T14:17:05.000Z"
"Trade","1.27307565","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T17:22:10.000Z"
"Trade","1.27287364","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T19:29:50.000Z"
"Trade","0.43211267999999997","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:37:21.000Z"
"Trade","2.92906164","ETOMIC","29.347001080000002","BEER","0.03772108","BEER","BarterDex Trades","","","2018-03-13T14:53:30.000Z"
"Trade","1694.52234705","PIZZA","0.16970101999999998","BEER","0.00021812","BEER","BarterDex Trades","","","2018-03-22T17:11:04.000Z"
"Trade","0.5524474","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T15:10:48.000Z"
"Trade","1.2727979","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T18:56:27.000Z"
"Trade","0.36026142","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T15:18:57.000Z"
"Trade","4.930941430000001","ETOMIC","49.39276684","BEER","0.06348684","BEER","BarterDex Trades","","","2018-03-18T11:44:01.000Z"
"Trade","3.001924","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:25:33.000Z"
"Trade","890.52205383","PIZZA","0.08923972","BEER","0.0001147","BEER","BarterDex Trades","","","2018-03-22T18:13:18.000Z"
"Trade","0.14412940999999999","ETOMIC","1.44329512","BEER","0.00185513","BEER","BarterDex Trades","","","2018-03-29T16:15:56.000Z"
"Trade","50.037023979999994","ETOMIC","501.14414414","BEER","0.64414414","BEER","BarterDex Trades","","","2018-03-19T16:20:29.000Z"
"Trade","0.49641027","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T12:01:16.000Z"
"Trade","0.6003712600000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:35:37.000Z"
"Trade","0.36019492","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T15:59:34.000Z"
,,,,,,,,,,
"Trade","0.5522630900000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-21T15:09:09.000Z"
"Trade","0.55224141","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:10:03.000Z"
"Trade","0.6001176300000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T19:08:27.000Z"
"Trade","1.8001661899999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:15:20.000Z"
"Trade","3.00210346","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:28:45.000Z"
"Trade","0.44042796","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:45:38.000Z"
"Trade","0.55248536","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-21T22:47:34.000Z"
"Trade","0.36022291","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T15:28:08.000Z"
"Trade","0.60028866","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:39:01.000Z"
"Trade","1.27283577","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T18:55:25.000Z"
"Trade","1.00086255","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-15T11:11:08.000Z"
"Trade","2.0006375899999997","ETOMIC","20.04576576","BEER","0.02576576","BEER","BarterDex Trades","","","2018-03-25T18:38:42.000Z"
"Trade","0.36031394","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T11:30:57.000Z"
"Trade","0.44041505","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:31:17.000Z"
"Trade","0.43225610999999997","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T21:01:51.000Z"
"Trade","1.27310091","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T20:17:27.000Z"
"Trade","1.4170530399999999","ETOMIC","14.19240216","BEER","0.01824216","BEER","BarterDex Trades","","","2018-03-18T12:08:29.000Z"
"Trade","0.43237853","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:48:36.000Z"
"Trade","1.07224262","ETOMIC","10.74453045","BEER","0.01381045","BEER","BarterDex Trades","","","2018-03-27T09:34:05.000Z"
"Trade","4.93035124","ETOMIC","49.39276684","BEER","0.06348684","BEER","BarterDex Trades","","","2018-03-18T11:40:52.000Z"
"Trade","0.44025159999999997","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:27:10.000Z"
"Trade","0.60034765","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:37:50.000Z"
"Trade","4.96434694","ETOMIC","49.71349909","BEER","0.06389909","BEER","BarterDex Trades","","","2018-03-18T11:56:13.000Z"
"Trade","0.60043027","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:33:15.000Z"
"Trade","1.38475514","ETOMIC","13.8716699","BEER","0.0178299","BEER","BarterDex Trades","","","2018-03-18T11:38:49.000Z"
"Trade","0.36017392","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T13:03:21.000Z"
"Trade","0.6005129","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:21:04.000Z"
"Trade","1.80021984","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:13:11.000Z"
"Trade","0.49617213","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T14:51:32.000Z"
"Trade","0.55247451","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:09:59.000Z"
"Trade","1.27272217","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T17:22:08.000Z"
"Trade","0.55236607","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:02:42.000Z"
"Trade","1.70113912","ETOMIC","17.038900899999998","BEER","0.0219009","BEER","BarterDex Trades","","","2018-03-25T20:32:50.000Z"
"Trade","3.00216328","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:25:05.000Z"
"Trade","1.00039718","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-15T11:11:07.000Z"
"Trade","2.98627094","ETOMIC","29.90828252","BEER","0.03844252","BEER","BarterDex Trades","","","2018-03-13T14:05:29.000Z"
"Trade","1.5286478399999999","ETOMIC","15.31496504","BEER","0.01968504","BEER","BarterDex Trades","","","2018-03-18T11:48:06.000Z"
"Trade","0.43228988","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:58:46.000Z"
"Trade","50.03102303","ETOMIC","501.14414414","BEER","0.64414414","BEER","BarterDex Trades","","","2018-03-18T14:36:50.000Z"
"Trade","1.70137582","ETOMIC","17.038900899999998","BEER","0.0219009","BEER","BarterDex Trades","","","2018-03-25T20:36:57.000Z"
"Trade","0.49646862999999997","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T12:00:11.000Z"
"Trade","3.00141566","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:29:49.000Z"
"Trade","0.36024392","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T11:39:08.000Z"
"Trade","0.43242076","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T21:03:00.000Z"
"Trade","2.90238145","ETOMIC","29.06636036","BEER","0.03736036","BEER","BarterDex Trades","","","2018-03-13T20:39:51.000Z"
"Trade","0.4402086","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:38:29.000Z"
"Trade","1.0006248599999998","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-18T11:15:25.000Z"
"Trade","0.36027892","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T10:44:21.000Z"
"Trade","1.8009355599999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:12:07.000Z"
"Trade","0.6005542300000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:35:45.000Z"
"Trade","0.6002532700000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:38:58.000Z"
"Trade","0.14406644","ETOMIC","1.44329512","BEER","0.00185513","BEER","BarterDex Trades","","","2018-03-29T16:15:47.000Z"
"Trade","4.96162393","ETOMIC","49.71349909","BEER","0.06389909","BEER","BarterDex Trades","","","2018-03-18T11:57:16.000Z"
"Trade","1.2727726499999998","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T20:24:34.000Z"
"Trade","0.5521384800000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T15:10:52.000Z"
"Trade","0.43214642","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T20:55:41.000Z"
"Trade","0.49605072","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-27T16:09:10.000Z"
"Trade","0.5524528200000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:13:15.000Z"
"Trade","1.0001695899999998","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-27T09:35:10.000Z"
"Trade","0.5524474","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:06:53.000Z"
"Trade","1.27315142","ETOMIC","12.74910702","BEER","0.01638702","BEER","BarterDex Trades","","","2018-03-19T17:24:13.000Z"
"Trade","0.60043027","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T18:35:41.000Z"
"Trade","1.8013652599999999","ETOMIC","18.04118918","BEER","0.02318918","BEER","BarterDex Trades","","","2018-03-25T20:13:15.000Z"
"Trade","0.49628388","ETOMIC","4.9713499","BEER","0.0063899","BEER","BarterDex Trades","","","2018-03-28T13:06:08.000Z"
"Trade","0.6002296800000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:33:18.000Z"
"Trade","0.5523714900000001","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:11:08.000Z"
"Trade","0.55252875","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-22T17:06:48.000Z"
"Trade","1.0004367699999999","ETOMIC","10.02288288","BEER","0.01288288","BEER","BarterDex Trades","","","2018-03-15T15:42:18.000Z"
"Trade","0.55225225","ETOMIC","5.53263135","BEER","0.00711135","BEER","BarterDex Trades","","","2018-03-21T22:47:37.000Z"
"Trade","0.6005542300000001","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:15:56.000Z"
"Trade","0.36010395","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T16:00:40.000Z"
"Trade","50.00403652999999","ETOMIC","501.14414414","BEER","0.64414414","BEER","BarterDex Trades","","","2018-03-18T14:47:41.000Z"
"Trade","2.9866578","ETOMIC","29.90828252","BEER","0.03844252","BEER","BarterDex Trades","","","2018-03-13T13:59:29.000Z"
"Trade","10.00853122","ETOMIC","100.22882881999999","BEER","0.12882882","BEER","BarterDex Trades","","","2018-03-15T11:01:34.000Z"
"Trade","0.4402989","ETOMIC","4.41006846","BEER","0.00566846","BEER","BarterDex Trades","","","2018-03-22T15:24:05.000Z"
"Trade","0.36027542","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T11:46:18.000Z"
"Trade","4.93212224","ETOMIC","49.39276684","BEER","0.06348684","BEER","BarterDex Trades","","","2018-03-18T11:45:02.000Z"
"Trade","3.0025522","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:26:38.000Z"
"Trade","1.88909222","ETOMIC","18.923202879999998","BEER","0.02432288","BEER","BarterDex Trades","","","2018-03-18T11:51:09.000Z"
"Trade","0.43237431","ETOMIC","4.3298854","BEER","0.0055654","BEER","BarterDex Trades","","","2018-03-21T21:02:56.000Z"
"Trade","0.60023557","ETOMIC","6.013729710000001","BEER","0.00772972","BEER","BarterDex Trades","","","2018-03-21T16:15:58.000Z"
"Trade","0.36007947","ETOMIC","3.60823783","BEER","0.00463783","BEER","BarterDex Trades","","","2018-03-29T13:00:14.000Z"
"Trade","2.39416074","ETOMIC","23.97473585","BEER","0.03081585","BEER","BarterDex Trades","","","2018-03-15T14:45:22.000Z"
"Trade","3.00129608","ETOMIC","30.068648640000003","BEER","0.03864864","BEER","BarterDex Trades","","","2018-03-19T20:27:42.000Z"